imagename,indic, height
NRmarshDN-12-02-10-13-30.jpg,0,71.677
NRmarshDN-12-02-10-13-45.jpg,0,66.006
NRmarshDN-12-02-10-14-00.jpg,0,60.383
NRmarshDN-12-02-10-14-15.jpg,0,55.275
NRmarshDN-12-02-10-14-30.jpg,0,50.968
NRmarshDN-12-02-10-14-45.jpg,0,46.381
NRmarshDN-12-02-10-15-00.jpg,0,42.301
NRmarshDN-12-02-10-15-15.jpg,0,38.587
NRmarshDN-12-02-10-15-30.jpg,0,35.251
NRmarshDN-12-02-10-15-45.jpg,0,32.225
NRmarshDN-12-02-10-16-00.jpg,0,29.387
NRmarshDN-12-02-10-16-15.jpg,0,26.776
NRmarshDN-12-02-10-16-30.jpg,0,24.219
NRmarshDN-12-02-10-16-45.jpg,0,21.997
NRmarshDN-12-02-10-17-00.jpg,0,19.972
NRmarshDN-12-02-10-17-15.jpg,0,18.18
NRmarshDN-12-02-10-17-30.jpg,0,16.775
NRmarshDN-12-02-10-17-45.jpg,0,15.546
NRmarshDN-12-02-10-18-00.jpg,0,14.685
NRmarshDN-12-02-10-18-15.jpg,0,14.089
NRmarshDN-12-02-10-18-30.jpg,0,13.6
NRmarshDN-12-02-10-18-45.jpg,0,13.321
NRmarshDN-12-02-10-19-00.jpg,0,13.072
NRmarshDN-12-02-10-19-15.jpg,0,14.1
NRmarshDN-12-02-10-19-30.jpg,0,18.567
NRmarshDN-12-02-10-19-45.jpg,0,23.063
NRmarshDN-12-02-10-20-00.jpg,0,26.931
NRmarshDN-12-02-10-20-15.jpg,0,30.634
NRmarshDN-12-02-10-20-30.jpg,0,35.788
NRmarshDN-12-02-10-20-45.jpg,0,41.17
NRmarshDN-12-02-10-21-00.jpg,0,46.285
NRmarshDN-12-02-10-21-15.jpg,0,51.371
NRmarshDN-12-02-10-21-30.jpg,0,56.184
NRmarshDN-12-02-10-21-45.jpg,0,60.872
NRmarshDN-12-02-10-22-00.jpg,0,65.028
NRmarshDN-12-02-10-22-15.jpg,0,68.684
NRmarshDN-12-02-10-22-30.jpg,0,71.449
NRmarshDN-12-02-10-22-45.jpg,0,73.59
NRmarshDN-12-02-10-23-00.jpg,0,75.357
NRmarshDN-12-02-10-23-15.jpg,0,77.008
