date,imagename,height
12-02-14-12-00,NRmarshDN-12-02-14-12-00.jpg,34.5
12-02-14-15-00,NRmarshDN-12-02-14-15-00.jpg,68.5
12-02-14-17-00,NRmarshDN-12-02-14-17-00.jpg,42.5
12-02-14-19-00,NRmarshDN-12-02-14-19-00.jpg,21
12-02-15-00-45,NRmarshDN-12-02-15-00-45.jpg,31.75
12-02-15-03-15,NRmarshDN-12-02-15-03-15.jpg,71.1
12-02-15-06-00,NRmarshDN-12-02-15-06-00.jpg,44.5
12-02-15-08-00,NRmarshDN-12-02-15-08-00.jpg,22.6
12-02-15-13-45,NRmarshDN-12-02-15-13-45.jpg,26.75
12-02-15-16-00,NRmarshDN-12-02-15-16-00.jpg,49.4
12-02-15-18-15,NRmarshDN-12-02-15-18-15.jpg,28.25
12-02-16-02-00,NRmarshDN-12-02-16-02-00.jpg,30
12-02-16-03-45,NRmarshDN-12-02-16-03-45.jpg,61.25
12-02-16-07-30,NRmarshDN-12-02-16-07-30.jpg,41.25
12-02-16-09-00,NRmarshDN-12-02-16-09-00.jpg,25.8
12-02-16-14-15,NRmarshDN-12-02-16-14-15.jpg,36
12-02-16-16-45,NRmarshDN-12-02-16-16-45.jpg,69
12-02-16-19-30,NRmarshDN-12-02-16-19-30.jpg,40.5
12-02-17-02-45,NRmarshDN-12-02-17-02-45.jpg,27.5
12-02-17-05-30,NRmarshDN-12-02-17-05-30.jpg,68
12-02-17-07-45,NRmarshDN-12-02-17-07-45.jpg,53.25
12-02-17-09-45,NRmarshDN-12-02-17-09-45.jpg,38
12-02-17-15-15,NRmarshDN-12-02-17-15-15.jpg,28
12-02-17-17-45,NRmarshDN-12-02-17-17-45.jpg,63.1
12-02-17-20-15,NRmarshDN-12-02-17-20-15.jpg,42.5
12-02-18-03-30,NRmarshDN-12-02-18-03-30.jpg,31.25
12-02-18-06-00,NRmarshDN-12-02-18-06-00.jpg,74.25
12-02-18-09-00,NRmarshDN-12-02-18-09-00.jpg,65
12-02-18-11-15,NRmarshDN-12-02-18-11-15.jpg,33
12-02-18-15-30,NRmarshDN-12-02-18-15-30.jpg,23.5
12-02-18-18-15,NRmarshDN-12-02-18-18-15.jpg,64.25
12-02-18-21-00,NRmarshDN-12-02-18-21-00.jpg,48
12-02-18-23-15,NRmarshDN-12-02-18-23-15.jpg,22.75
12-02-19-04-45,NRmarshDN-12-02-19-04-45.jpg,34
12-02-19-07-00,NRmarshDN-12-02-19-07-00.jpg,72.5
12-02-19-09-45,NRmarshDN-12-02-19-09-45.jpg,55
12-02-19-12-00,NRmarshDN-12-02-19-12-00.jpg,30.3
12-02-19-17-45,NRmarshDN-12-02-19-17-45.jpg,29.75
12-02-19-20-00,NRmarshDN-12-02-19-20-00.jpg,58
12-02-19-22-15,NRmarshDN-12-02-19-22-15.jpg,37.25
12-02-20-06-30,NRmarshDN-12-02-20-06-30.jpg,25.8
12-02-20-08-15,NRmarshDN-12-02-20-08-15.jpg,63
12-02-20-10-45,NRmarshDN-12-02-20-10-45.jpg,48
12-02-20-13-00,NRmarshDN-12-02-20-13-00.jpg,23.5
12-02-20-17-45,NRmarshDN-12-02-20-17-45.jpg,27.9
12-02-20-20-15,NRmarshDN-12-02-20-20-15.jpg,75.75
12-02-21-02-15,NRmarshDN-12-02-21-02-15.jpg,25
12-02-21-06-45,NRmarshDN-12-02-21-06-45.jpg,53.5
12-02-21-09-30,NRmarshDN-12-02-21-09-30.jpg,82
12-02-21-12-15,NRmarshDN-12-02-21-12-15.jpg,63.75
12-02-21-14-30,NRmarshDN-12-02-21-14-30.jpg,29.5
12-02-21-17-15,NRmarshDN-12-02-21-17-15.jpg,23
12-02-21-19-30,NRmarshDN-12-02-21-19-30.jpg,61.9
12-02-21-22-15,NRmarshDN-12-02-21-22-15.jpg,80.5
12-02-22-00-30,NRmarshDN-12-02-22-00-30.jpg,48.75
12-02-22-02-30,NRmarshDN-12-02-22-02-30.jpg,23
12-02-22-07-45,NRmarshDN-12-02-22-07-45.jpg,40.75
12-02-22-10-15,NRmarshDN-12-02-22-10-15.jpg,74.6
12-02-22-13-00,NRmarshDN-12-02-22-13-00.jpg,41.5
12-02-22-15-00,NRmarshDN-12-02-22-15-00.jpg,23.25
12-02-22-18-45,NRmarshDN-12-02-22-18-45.jpg,30
12-02-22-20-45,NRmarshDN-12-02-22-20-45.jpg,64.25
12-02-23-00-00,NRmarshDN-12-02-23-00-00.jpg,71.25
12-02-23-01-45,NRmarshDN-12-02-23-01-45.jpg,40.25
12-02-23-03-45,NRmarshDN-12-02-23-03-45.jpg,21
12-02-23-07-15,NRmarshDN-12-02-23-07-15.jpg,20.75
12-02-23-09-15,NRmarshDN-12-02-23-09-15.jpg,55.75
12-02-23-11-30,NRmarshDN-12-02-23-11-30.jpg,72.75
12-02-23-13-45,NRmarshDN-12-02-23-13-45.jpg,39.5
12-02-23-19-30,NRmarshDN-12-02-23-19-30.jpg,30
12-02-23-21-30,NRmarshDN-12-02-23-21-30.jpg,60
12-02-23-23-45,NRmarshDN-12-02-23-23-45.jpg,69.1
12-02-24-02-45,NRmarshDN-12-02-24-02-45.jpg,31.25
12-02-24-05-00,NRmarshDN-12-02-24-05-00.jpg,18
12-02-24-07-45,NRmarshDN-12-02-24-07-45.jpg,27
12-02-24-10-00,NRmarshDN-12-02-24-10-00.jpg,59.25
12-02-24-13-00,NRmarshDN-12-02-24-13-00.jpg,69.25
12-02-24-15-00,NRmarshDN-12-02-24-15-00.jpg,38.5
12-02-24-20-00,NRmarshDN-12-02-24-20-00.jpg,29.75
12-02-24-22-45,NRmarshDN-12-02-24-22-45.jpg,61.75
12-02-25-01-00,NRmarshDN-12-02-25-01-00.jpg,43.6
12-02-25-10-45,NRmarshDN-12-02-25-10-45.jpg,24.5
12-02-25-13-30,NRmarshDN-12-02-25-13-30.jpg,26.5
12-02-25-23-00,NRmarshDN-12-02-25-23-00.jpg,32
12-02-26-01-15,NRmarshDN-12-02-26-01-15.jpg,36.25
12-02-26-10-00,NRmarshDN-12-02-26-10-00.jpg,20.75
12-02-26-12-00,NRmarshDN-12-02-26-12-00.jpg,47.25
12-02-26-14-45,NRmarshDN-12-02-26-14-45.jpg,26.5
12-02-27-11-15,NRmarshDN-12-02-27-11-15.jpg,20.9
12-02-27-13-15,NRmarshDN-12-02-27-13-15.jpg,39
12-02-27-23-45,NRmarshDN-12-02-27-23-45.jpg,23
12-02-28-01-45,NRmarshDN-12-02-28-01-45.jpg,43.5
12-02-28-03-45,NRmarshDN-12-02-28-03-45.jpg,23.75
12-02-28-14-00,NRmarshDN-12-02-28-14-00.jpg,28.5
12-02-29-12-45,NRmarshDN-12-02-29-12-45.jpg,35.5
12-02-29-15-15,NRmarshDN-12-02-29-15-15.jpg,44.75
12-02-29-17-45,NRmarshDN-12-02-29-17-45.jpg,24.5
12-02-29-23-15,NRmarshDN-12-02-29-23-15.jpg,15.75
12-03-01-00-45,NRmarshDN-12-03-01-00-45.jpg,32.75
12-03-01-03-15,NRmarshDN-12-03-01-03-15.jpg,59.25
12-03-01-06-00,NRmarshDN-12-03-01-06-00.jpg,35
12-03-01-13-30,NRmarshDN-12-03-01-13-30.jpg,28
12-03-01-15-45,NRmarshDN-12-03-01-15-45.jpg,41
12-03-01-18-30,NRmarshDN-12-03-01-18-30.jpg,25.25
12-03-02-01-45,NRmarshDN-12-03-02-01-45.jpg,26.25
12-03-02-04-30,NRmarshDN-12-03-02-04-30.jpg,48.25
12-03-02-07-00,NRmarshDN-12-03-02-07-00.jpg,27.5
12-03-02-14-45,NRmarshDN-12-03-02-14-45.jpg,44.75
12-03-02-16-45,NRmarshDN-12-03-02-16-45.jpg,53.25
12-03-02-19-30,NRmarshDN-12-03-02-19-30.jpg,31
12-03-02-21-30,NRmarshDN-12-03-02-21-30.jpg,20
12-03-03-00-30,NRmarshDN-12-03-03-00-30.jpg,26
12-03-03-03-00,NRmarshDN-12-03-03-03-00.jpg,54
12-03-03-05-15,NRmarshDN-12-03-03-05-15.jpg,72
12-03-03-08-00,NRmarshDN-12-03-03-08-00.jpg,52.5
12-03-03-11-00,NRmarshDN-12-03-03-11-00.jpg,22.5
12-03-03-13-15,NRmarshDN-12-03-03-13-15.jpg,23.75
12-03-03-15-30,NRmarshDN-12-03-03-15-30.jpg,48.5
12-03-03-17-45,NRmarshDN-12-03-03-17-45.jpg,55.25
12-03-03-20-03,NRmarshDN-12-03-03-20-03.jpg,33
12-03-03-21-30,NRmarshDN-12-03-03-21-30.jpg,25
12-03-04-02-00,NRmarshDN-12-03-04-02-00.jpg,31.25
12-03-04-04-00,NRmarshDN-12-03-04-04-00.jpg,57.5
12-03-04-06-45,NRmarshDN-12-03-04-06-45.jpg,58.75
12-03-04-08-45,NRmarshDN-12-03-04-08-45.jpg,54.8
12-03-04-11-30,NRmarshDN-12-03-04-11-30.jpg,34.5
12-03-04-14-30,NRmarshDN-12-03-04-14-30.jpg,27.5
12-03-04-16-45,NRmarshDN-12-03-04-16-45.jpg,70
12-03-04-19-15,NRmarshDN-12-03-04-19-15.jpg,79
12-03-04-22-00,NRmarshDN-12-03-04-22-00.jpg,41.25
12-03-05-00-00,NRmarshDN-12-03-05-00-00.jpg,25.5
12-03-05-02-45,NRmarshDN-12-03-05-02-45.jpg,25.75
12-03-05-07-15,NRmarshDN-12-03-05-07-15.jpg,80
12-03-05-10-00,NRmarshDN-12-03-05-10-00.jpg,77
12-03-05-12-15,NRmarshDN-12-03-05-12-15.jpg,54.9
12-03-05-15-15,NRmarshDN-12-03-05-15-15.jpg,19
12-03-05-18-45,NRmarshDN-12-03-05-18-45.jpg,32.5
12-03-05-20-30,NRmarshDN-12-03-05-20-30.jpg,40
12-03-05-22-15,NRmarshDN-12-03-05-22-15.jpg,24.25
12-03-06-05-30,NRmarshDN-12-03-06-05-30.jpg,33
